month,state,totals
2017-04,Arizona,32052
2017-04,Arkansas,16452
2017-04,California,132190
2017-04,Colorado,39989
2017-04,Connecticut,16406
2017-04,Delaware,4296
2017-04,District of Columbia,104
2017-04,Florida,103641
2017-04,Georgia,37829
2017-04,Guam,147
2017-04,Hawaii,888
2017-04,Idaho,15234
2017-04,Illinois,135507
2017-04,Indiana,63298
2017-04,Iowa,13017
2017-04,Kansas,15139
2017-04,Kentucky,392685
2017-04,Louisiana,22065
2017-04,Maine,8115
2017-04,Mariana Islands,13
2017-04,Maryland,13182
2017-04,Massachusetts,17866
2017-04,Michigan,41939
2017-04,Minnesota,71484
2017-04,Mississippi,16803
2017-04,Missouri,40019
2017-04,Montana,10293
2017-04,Nebraska,5745
2017-04,Nevada,10588
2017-04,New Hampshire,10792
2017-04,New Jersey,9119
2017-04,New Mexico,12748
2017-04,New York,33113
2017-04,North Carolina,39992
2017-04,North Dakota,6504
2017-04,Ohio,66800
2017-04,Oklahoma,27478
2017-04,Oregon,27936
2017-04,Pennsylvania,85908
2017-04,Puerto Rico,1387
2017-04,Rhode Island,2133
2017-04,South Carolina,30218
2017-04,South Dakota,7857
2017-04,Tennessee,57852
2017-04,Texas,109961
2017-04,Utah,23177
2017-04,Vermont,3818
2017-04,Virgin Islands,111
2017-04,Virginia,48631
2017-04,Washington,47895
2017-04,West Virginia,16988
2017-04,Wisconsin,45872
2017-04,Wyoming,4269
2017-03,Alabama,48769
2017-03,Alaska,6971
2017-03,Arizona,38170
2017-03,Arkansas,23290
2017-03,California,146592
2017-03,Colorado,45645
2017-03,Connecticut,18787
2017-03,Delaware,5527
2017-03,District of Columbia,111
2017-03,Florida,122716
2017-03,Georgia,57235
2017-03,Guam,136
2017-03,Hawaii,1090
2017-03,Idaho,16675
2017-03,Illinois,163728
2017-03,Indiana,79624
2017-03,Iowa,20026
2017-03,Kansas,17891
2017-03,Kentucky,397959
2017-03,Louisiana,29310
2017-03,Maine,9632
2017-03,Mariana Islands,11
2017-03,Maryland,15769
2017-03,Massachusetts,21059
2017-03,Michigan,54452
2017-03,Minnesota,77749
2017-03,Mississippi,24421
2017-03,Missouri,52928
2017-03,Montana,12396
2017-03,Nebraska,7337
2017-03,Nevada,14158
2017-03,New Hampshire,13529
2017-03,New Jersey,10993
2017-03,New Mexico,14963
2017-03,New York,35608
2017-03,North Carolina,55574
2017-03,North Dakota,6461
2017-03,Ohio,81153
2017-03,Oklahoma,30518
2017-03,Oregon,32423
2017-03,Pennsylvania,110334
2017-03,Puerto Rico,1560
2017-03,Rhode Island,2553
2017-03,South Carolina,43113
2017-03,South Dakota,9770
2017-03,Tennessee,74655
2017-03,Texas,144270
2017-03,Utah,26941
